alleles,synonymous,nonsynonymous
0,22296553.0,7431690.0
1,43576.0,14931.0
2,14221.0,5111.0
3,7485.0,2632.0
4,4923.0,1755.0
5,3636.0,1241.0
6,2849.0,935.0
7,2377.0,807.0
8,1980.0,668.0
9,1840.0,648.0
10,1700.0,537.0
11,1537.0,504.0
12,1500.0,472.0
13,1351.0,446.0
14,1334.0,456.0
15,1297.0,401.0
16,1254.0,377.0
17,1285.0,435.0
18,1369.0,442.0
19,1882.0,562.0
20,106051.0,34950.0
